y,elastic_net_logistic,xgboost,ebm,Animal
Healthy,"[0.7527533989891012, 0.20079439820372458, 0.04645220280717412]","[0.7351694703102112, 0.19104962050914764, 0.07378090918064117]","[0.6890543062539187, 0.3015762660204236, 0.00936942772565765]",U
Healthy,"[0.5267292560878531, 0.4436841741001942, 0.029586569811952682]","[0.3621777892112732, 0.4667145609855652, 0.17110760509967804]","[0.3635174381956506, 0.6127573714619423, 0.023725190342407065]",U
Healthy,"[0.2888591490090973, 0.3847262588392285, 0.32641459215167407]","[0.4520203471183777, 0.263744056224823, 0.2842356264591217]","[0.4050527449799519, 0.20182595043872534, 0.39312130458132283]",U
Healthy,"[0.5583958738236943, 0.35444853774784213, 0.08715558842846352]","[0.40693235397338867, 0.24880777299404144, 0.3442598879337311]","[0.47122245847343774, 0.24689914862767473, 0.28187839289888744]",U
Healthy,"[0.8718736554224803, 0.0686337199617392, 0.05949262461578047]","[0.8289968967437744, 0.11711712181568146, 0.05388597026467323]","[0.8302701217018998, 0.16932430821409003, 0.00040557008401014287]",U
CaOx,"[0.012003692398640917, 0.27359479223274186, 0.7144015153686173]","[0.0780494213104248, 0.22948311269283295, 0.6924675107002258]","[0.08522405115623448, 0.09164019207088762, 0.823135756772878]",UJ
CaOx,"[0.09402133313258582, 0.4938595498145546, 0.41211911705285953]","[0.08425518870353699, 0.5961258411407471, 0.31961899995803833]","[0.025455120127975902, 0.7879105707228916, 0.18663430914913262]",UJ
CaOx,"[0.030186021790028182, 0.3288785835290366, 0.6409353946809353]","[0.08973554521799088, 0.19835367798805237, 0.7119107842445374]","[0.0381977487446674, 0.2355386620271795, 0.7262635892281532]",UJ
CaOx,"[0.19495477944335496, 0.4110148902791058, 0.39403033027753914]","[0.11809171736240387, 0.44152140617370605, 0.44038692116737366]","[0.07048354742925583, 0.49019185585029934, 0.4393245967204449]",UJ
Healthy,"[0.7573389859387264, 0.1944996057952927, 0.048161408265980976]","[0.7581647634506226, 0.08785942941904068, 0.15397579967975616]","[0.8569523647342088, 0.11421344179955693, 0.028834193466234306]",V
Healthy,"[0.5053666260228304, 0.2990299926818933, 0.19560338129527627]","[0.5757541060447693, 0.27631914615631104, 0.14792680740356445]","[0.6439855870582388, 0.26431065311559765, 0.0917037598261635]",V
Healthy,"[0.7841004212985815, 0.11430469473680757, 0.10159488396461082]","[0.7650300860404968, 0.09774862229824066, 0.13722124695777893]","[0.9200061390922966, 0.04317675931814439, 0.03681710158955926]",V
Healthy,"[0.639091932363351, 0.2235817343665974, 0.13732633327005153]","[0.7101648449897766, 0.16747911274433136, 0.12235597521066666]","[0.8115232757194637, 0.1254082155150194, 0.06306850876551687]",V
Healthy,"[0.7318387895391932, 0.20093145975126056, 0.06722975070954613]","[0.7896972298622131, 0.14040601253509521, 0.06989670544862747]","[0.8767328485221874, 0.11783166954667787, 0.00543548193113482]",V
Healthy,"[0.4532954455178911, 0.5229964282793825, 0.023708126202726335]","[0.7970798015594482, 0.1264687478542328, 0.07645148783922195]","[0.8360626370973252, 0.13528729750590224, 0.028650065396772572]",VF
Healthy,"[0.9417434066006274, 0.0489273878673504, 0.00932920553202231]","[0.8923161625862122, 0.06802275776863098, 0.03966105729341507]","[0.9941882781911661, 0.004542732043057661, 0.0012689897657763025]",VF
Healthy,"[0.8062503909225206, 0.18599623871287127, 0.007753370364608248]","[0.6462627053260803, 0.2947656214237213, 0.05897165834903717]","[0.7712094888383835, 0.2266742376720941, 0.002116273489522406]",VF
